Date;Time;CO(GT);PT08.S1(CO);NMHC(GT);C6H6(GT);PT08.S2(NMHC);NOx(GT);PT08.S3(NOx);NO2(GT);PT08.S4(NO2);PT08.S5(O3);T;RH;AH;;
10032004;18;26;1360;150;119;1046;166;1056;113;1692;1268;136;489;07578
10032004;19;2;1292;112;94;955;103;1174;92;1559;972;133;477;07255
10032004;20;22;1402;88;90;939;131;1140;114;1555;1074;119;540;07502
10032004;21;22;1376;80;92;948;172;1092;122;1584;1203;110;600;07867
10032004;22;16;1272;51;65;836;131;1205;116;1490;1110;112;596;07888
10032004;23;12;1197;38;47;750;89;1337;96;1393;949;112;592;07848
11032004;00;12;1185;31;36;690;62;1462;77;1333;733;113;568;07603
11032004;01;1;1136;31;33;672;62;1453;76;1333;730;107;600;07702
11032004;02;09;1094;24;23;609;45;1579;60;1276;620;107;597;07648
11032004;03;06;1010;19;17;561;-200;1705;-200;1235;501;103;602;07517
11032004;04;-200;1011;14;13;527;21;1818;34;1197;445;101;605;07465
11032004;05;07;1066;8;11;512;16;1918;28;1182;422;110;562;07366
11032004;06;07;1052;16;16;553;34;1738;48;1221;472;105;581;07353
11032004;07;11;1144;29;32;667;98;1490;82;1339;730;102;596;07417
11032004;08;2;1333;64;80;900;174;1136;112;1517;1102;108;574;07408
11032004;09;22;1351;87;95;960;129;1079;101;1583;1028;105;606;07691
11032004;10;17;1233;77;63;827;112;1218;98;1446;860;108;584;07552
11032004;11;15;1179;43;50;762;95;1328;92;1362;671;105;579;07352
11032004;12;16;1236;61;52;774;104;1301;95;1401;664;95;668;07951
11032004;13;19;1286;63;73;869;146;1162;112;1537;799;83;764;08393
11032004;14;29;1371;164;115;1034;207;983;128;1730;1037;80;811;08736
11032004;15;22;1310;79;88;933;184;1082;126;1647;946;83;798;08778
11032004;16;22;1292;95;83;912;193;1103;131;1591;957;97;712;08569
11032004;17;29;1383;150;112;1020;243;1008;135;1719;1104;98;676;08185
11032004;18;48;1581;307;208;1319;281;799;151;2083;1409;103;642;08065
11032004;19;69;1776;461;274;1488;383;702;172;2333;1704;97;693;08319
11032004;20;61;1640;401;240;1404;351;743;165;2191;1654;96;678;08133
11032004;21;39;1313;197;128;1076;240;957;136;1707;1285;91;640;07419
11032004;22;15;965;61;47;749;94;1325;85;1333;821;82;634;06905
11032004;23;1;913;26;26;629;47;1565;53;1252;552;82;608;06657
12032004;00;17;1080;55;59;805;122;1254;97;1375;816;83;585;06438
12032004;01;19;1044;53;64;829;133;1247;110;1378;832;77;597;06308
12032004;02;14;988;40;41;718;82;1396;91;1304;692;71;618;06276
12032004;03;08;889;21;19;574;-200;1680;-200;1187;512;70;623;06261
12032004;04;-200;831;10;11;506;21;1893;32;1134;384;61;659;06248
12032004;05;06;847;7;10;501;30;1895;44;1155;394;63;650;06233
12032004;06;08;927;17;18;571;56;1685;71;1223;487;68;629;06234
12032004;07;14;1091;33;44;730;109;1387;104;1361;748;64;651;06316
12032004;08;44;1587;202;179;1236;307;897;141;1900;1400;73;631;06499
12032004;09;-200;1545;-200;221;1353;-200;767;-200;2058;1588;92;562;06561
